H1_Start,H2_Start,Direction,H1_High,H1_Low,H2_Open,Sweep_Time,Return_Time,Worked
2018-02-02 02:00:00,2018-02-02 03:00:00,Up,8038.021294,8000.029492,8003.219643,2018-02-02 03:00:00,N/A,False
2018-02-02 03:00:00,2018-02-02 04:00:00,Up,8003.799671,7967.837965,7970.738102,2018-02-02 04:01:00,2018-02-02 04:20:00,True
2018-02-02 06:00:00,2018-02-02 07:00:00,Down,7984.658763,7941.156699,7983.788721,2018-02-02 07:00:00,2018-02-02 07:20:00,True
2018-02-02 08:00:00,2018-02-02 09:00:00,Up,7999.449464,7929.556149,7946.956974,2018-02-02 09:00:00,2018-02-02 09:37:00,True
2018-02-02 09:00:00,2018-02-02 10:00:00,Down,7963.487758,7891.85436,7953.047263,2018-02-02 10:13:00,2018-02-02 10:20:00,True
2018-02-02 10:00:00,2018-02-02 11:00:00,Up,7964.647813,7919.985695,7921.725777,2018-02-02 11:00:00,2018-02-02 11:20:00,True
2018-02-02 12:00:00,2018-02-02 13:00:00,Up,7939.996644,7903.164897,7919.985695,2018-02-02 13:10:00,N/A,False
2018-02-02 13:00:00,2018-02-02 14:00:00,Up,7922.305805,7873.003466,7881.703879,2018-02-02 14:03:00,2018-02-02 14:20:00,True
2018-02-02 14:00:00,2018-02-02 15:00:00,Up,7896.204567,7843.712077,7847.482255,2018-02-02 15:02:00,N/A,False
2018-02-04 21:00:00,2018-02-04 22:00:00,Down,7818.770893,7806.300302,7816.16077,2018-02-04 22:08:00,N/A,False
2018-02-04 22:00:00,2018-02-04 23:00:00,Down,7828.631361,7815.580742,7823.411114,2018-02-04 23:14:00,N/A,False
2018-02-04 23:00:00,2018-02-05 00:00:00,Up,7829.211389,7823.411114,7828.341347,2018-02-05 00:10:00,2018-02-05 00:55:00,True
2018-02-05 00:00:00,2018-02-05 01:00:00,Down,7829.211389,7815.870756,7827.471306,2018-02-05 01:01:00,N/A,False
2018-02-05 01:00:00,2018-02-05 02:00:00,Up,7845.742173,7827.471306,7835.881705,2018-02-05 02:00:00,N/A,False
2018-02-05 02:00:00,2018-02-05 03:00:00,Down,7837.04176,7811.230536,7827.181292,2018-02-05 03:16:00,2018-02-05 03:27:00,True
2018-02-05 04:00:00,2018-02-05 05:00:00,Up,7840.231912,7829.211389,7832.691554,2018-02-05 05:01:00,N/A,False
2018-02-05 05:00:00,2018-02-05 06:00:00,Up,7832.691554,7799.339972,7803.110151,2018-02-05 06:00:00,N/A,False
2018-02-05 08:00:00,2018-02-05 09:00:00,Down,7826.021237,7752.067729,7826.021237,2018-02-05 09:00:00,N/A,False
2018-02-05 10:00:00,2018-02-05 11:00:00,Up,7886.054085,7821.091004,7841.971994,2018-02-05 11:06:00,N/A,False
2018-02-05 11:00:00,2018-02-05 12:00:00,Up,7844.582118,7793.82971,7817.030811,2018-02-05 12:03:00,2018-02-05 12:59:00,True
2018-02-05 13:00:00,2018-02-05 14:00:00,Up,7816.740797,7681.014359,7692.324895,2018-02-05 14:00:00,2018-02-05 14:27:00,True
